1649378,306.75,1009,52,305.15,308.15
1642911,305.13,1009,46,304.15,306.15
1645524,305.12,1009,46,304.15,306.15
1648473,305.12,1009,46,304.15,306.15
1625084,306.94,1009,52,305.15,308.15
1650357,295.471,918.6,94,295.471,295.471
1646170,302.021,1018.55,95,302.021,302.021
1627549,304.15,1010,58,304.15,304.15
1621177,304.171,993.42,51,304.171,304.171
1643920,301.821,1015.23,66,301.821,301.821
1633070,305.15,1010,52,305.15,305.15
1214520,303.15,1009,66,303.15,303.15
1633308,297.271,920.87,80,297.271,297.271
1633419,301.521,1017.66,100,301.521,301.521
1631761,306.15,1007,55,306.15,306.15
1645528,302.15,1011,70,302.15,302.15
1622786,305.15,1010,43,305.15,305.15
1633034,294.771,907.09,81,294.771,294.771
1650213,307.15,1009,46,307.15,307.15
1626973,295.471,918.6,94,295.471,295.471
